Institute Name,CourseName,Followers,type,Location,Day
quality thought,ai,10700.0,post,hyderabad,saturday
quality thought,ai,10700.0,post,hyderabad,friday
quality thought,ai,10700.0,post,hyderabad,thursday
quality thought,ai,10226.0,post,hyderabad,friday
besant technologies,ai,10700.0,post,hyderabad,tuesday
quality thought,ai,10700.0,post,hyderabad,saturday
besant technologies,ai,10700.0,reel,hyderabad,friday
quality thought,data analytics,10700.0,post,hyderabad,thursday
quality thought,gcp,10226.0,post,hyderabad,thursday
quality thought,data science,10700.0,reel,hyderabad,tuesday
quality thought,ai,12.0,reel,hyderabad,tuesday
quality thought,ai,10700.0,post,hyderabad,friday
besant technologies,ai,10700.0,reel,hyderabad,friday
besant technologies,ai,10700.0,reel,hyderabad,friday
quality thought,data science,10700.0,reel,hyderabad,wednesday
quality thought,data analytics,10700.0,reel,hyderabad,friday
quality thought,gcp,4.0,post,hyderabad,wednesday
quality thought,data analytics,10700.0,post,hyderabad,friday
quality thought,data science,10700.0,post,hyderabad,tuesday
quality thought,gcp,10700.0,reel,hyderabad,friday
quality thought,data science,10700.0,post,hyderabad,tuesday
besant technologies,ai,10700.0,reel,hyderabad,wednesday
quality thought,data science,10700.0,post,hyderabad,tuesday
quality thought,data science,10700.0,post,hyderabad,monday
quality thought,data science,10700.0,reel,hyderabad,tuesday
quality thought,data science,10700.0,post,hyderabad,monday
besant technologies,ai,10700.0,post,hyderabad,friday
quality thought,ds,10700.0,reel,hyderabad,monday
quality thought,ai,10700.0,post,hyderabad,sunday
besant technologies,data analytics,54368.0,post,hyderabad,thursday
naresh i technologies,data science,54368.0,reel,hyderabad,tuesday
naresh i technologies,data analytics,54368.0,post,hyderabad,friday
naresh i technologies,data analytics,54368.0,post,hyderabad,friday
naresh i technologies,data science,54368.0,post,hyderabad,thursday
naresh i technologies,data science,54368.0,post,hyderabad,thursday
naresh i technologies,data science,54368.0,post,hyderabad,saturday
naresh i technologies,data analytics,54368.0,post,hyderabad,saturday
naresh i technologies,data science,54368.0,reel,hyderabad,saturday
