Institute Name,CourseName,Followers,type,Location,Day,Reach
quality thought,ai,10700.0,post,hyderabad,saturday,high
quality thought,ai,10700.0,post,hyderabad,friday,moderate
quality thought,ai,10700.0,post,hyderabad,thursday,low
quality thought,ai,10226.0,post,hyderabad,friday,moderate
besant technologies,ai,10700.0,post,hyderabad,tuesday,low
quality thought,ai,10700.0,post,hyderabad,saturday,moderate
besant technologies,ai,10700.0,reel,hyderabad,friday,moderate
quality thought,data analytics,10700.0,post,hyderabad,thursday,moderate
quality thought,gcp,10226.0,post,hyderabad,thursday,moderate
quality thought,data science,10700.0,reel,hyderabad,tuesday,high
quality thought,ai,12.0,reel,hyderabad,tuesday,low
quality thought,ai,10700.0,post,hyderabad,friday,moderate
besant technologies,ai,10700.0,reel,hyderabad,friday,moderate
besant technologies,ai,10700.0,reel,hyderabad,friday,low
quality thought,data science,10700.0,reel,hyderabad,wednesday,high
quality thought,data analytics,10700.0,reel,hyderabad,friday,high
quality thought,gcp,4.0,post,hyderabad,wednesday,low
quality thought,data analytics,10700.0,post,hyderabad,friday,moderate
quality thought,data science,10700.0,post,hyderabad,tuesday,moderate
quality thought,gcp,10700.0,reel,hyderabad,friday,moderate
quality thought,data science,10700.0,post,hyderabad,tuesday,moderate
besant technologies,ai,10700.0,reel,hyderabad,wednesday,low
quality thought,data science,10700.0,post,hyderabad,tuesday,moderate
quality thought,data science,10700.0,post,hyderabad,monday,moderate
quality thought,data science,10700.0,reel,hyderabad,tuesday,moderate
quality thought,data science,10700.0,post,hyderabad,monday,high
besant technologies,ai,10700.0,post,hyderabad,friday,moderate
quality thought,ds,10700.0,reel,hyderabad,monday,low
quality thought,ai,10700.0,post,hyderabad,sunday,moderate
besant technologies,data analytics,54368.0,post,hyderabad,thursday,moderate
naresh i technologies,data science,54368.0,reel,hyderabad,tuesday,high
naresh i technologies,data analytics,54368.0,post,hyderabad,friday,moderate
naresh i technologies,data analytics,54368.0,post,hyderabad,friday,moderate
naresh i technologies,data science,54368.0,post,hyderabad,thursday,moderate
naresh i technologies,data science,54368.0,post,hyderabad,thursday,low
naresh i technologies,data science,54368.0,post,hyderabad,saturday,high
naresh i technologies,data analytics,54368.0,post,hyderabad,saturday,high
naresh i technologies,data science,54368.0,reel,hyderabad,saturday,high
besant technologies,data analytics,54368.0,post,hyderabad,friday,moderate
naresh i technologies,gcp,54368.0,post,hyderabad,saturday,high
naresh i technologies,data analytics,54368.0,post,hyderabad,friday,moderate
naresh i technologies,data science,54368.0,reel,hyderabad,wednesday,low
naresh i technologies,data science,54368.0,post,hyderabad,monday,moderate
naresh i technologies,data analytics,54368.0,post,hyderabad,friday,moderate
naresh i technologies,data analytics,54368.0,reel,hyderabad,friday,low
besant technologies,data science,54368.0,post,hyderabad,wednesday,moderate
naresh i technologies,data science,54368.0,post,hyderabad,thursday,high
naresh i technologies,data analytics,54368.0,post,hyderabad,wednesday,low
naresh i technologies,data science,54368.0,post,hyderabad,tuesday,moderate
naresh i technologies,data science,54368.0,post,hyderabad,friday,moderate
naresh i technologies,data science,54368.0,post,hyderabad,monday,moderate
naresh i technologies,data science,54368.0,reel,hyderabad,thursday,moderate
naresh i technologies,data analytics,54368.0,post,hyderabad,saturday,high
naresh i technologies,data analytics,54368.0,reel,hyderabad,friday,moderate
naresh i technologies,ai,54368.0,post,hyderabad,friday,low
naresh i technologies,ai,54368.0,post,hyderabad,thursday,low
naresh i technologies,data science,54368.0,reel,hyderabad,tuesday,low
naresh i technologies,data science,54368.0,post,hyderabad,wednesday,high
naresh i technologies,gcp,54368.0,reel,hyderabad,friday,moderate
naresh i technologies,data analytics,54368.0,reel,hyderabad,monday,low
naresh i technologies,data analytics,54368.0,post,hyderabad,saturday,high
besant technologies,data science,543.0,post,hyderabad,monday,moderate
